x,y
-0.0004398826979472144,-1.593625498007893
0.0008797653958944288,82.86852589641444
0.0011730205278592453,141.03585657370527
0.001466275659824062,197.6095617529881
0.0019061583577712764,275.6972111553786
0.002199413489736072,340.23904382470124
0.002199413489736072,405.577689243028
0.003079178885630501,492.4302788844622
0.004252199413489746,544.2231075697212
0.006451612903225818,568.9243027888447
0.009677419354838717,588.0478087649402
0.0124633431085044,603.98406374502
0.01642228739002933,617.5298804780876
0.02111436950146629,629.4820717131474
0.024780058651026404,635.8565737051794
0.0281524926686217,640.6374501992033
0.031231671554252202,644.6215139442232
0.035630498533724346,647.0119521912352
0.03914956011730206,650.1992031872511
0.04310850439882699,650.1992031872511
0.04589442815249267,650.996015936255
0.04912023460410557,650.996015936255
0.05190615835777126,651.7928286852591
