sweep,case,arm,flow_n,dt_scale,nbatch,nsteps,tfrac,max_its,status,iters_step1,median_iters_rest,imbalance,total_iters,iters_by_step,step1_overshoot,step1_contraction,theory_contraction,failed_step,n_failed_members,error
stiffness,vp_isoharden_inverted,pred-ls,4,1,8,6,0.0606061,50,ok,12,3,4,26,12-4-3-3-2-2,789.074,1.01655,3.16049,-1,-1,
stiffness,vp_isoharden_inverted,pred-ls,8,1,8,6,0.0606061,50,ok,15,2,7.5,28,15-4-3-2-2-2,290605,1.06041,2.91029,-1,-1,
stiffness,vp_isoharden_inverted,pred-ls,12,1,8,6,0.0606061,50,ok,16,2,8,29,16-4-3-2-2-2,2.06392e+06,1.07836,2.84094,-1,-1,
stiffness,vp_isoharden_inverted,pred-ls,20,1,8,6,0.0606061,50,ok,17,2,8.5,29,17-4-3-2-2-1,9.6523e+06,1.13319,2.78951,-1,-1,
stiffness,vp_isoharden_inverted,nopred-ls,2,1,8,6,0.0606061,50,ok,9,8,1.125,49,9-8-8-8-8-8,1,1.02515,4,-1,-1,
stiffness,vp_isoharden_inverted,nopred-ls,4,1,8,6,0.0606061,50,ok,12,11,1.09091,67,12-11-11-11-11-11,1,1.04482,3.16049,-1,-1,
stiffness,vp_isoharden_inverted,nopred-ls,8,1,8,6,0.0606061,50,ok,15,13,1.15385,80,15-13-13-13-13-13,1,1.05968,2.91029,-1,-1,
stiffness,vp_isoharden_inverted,nopred-ls,12,1,8,6,0.0606061,50,ok,16,14,1.14286,86,16-14-14-14-14-14,1,1.07831,2.84094,-1,-1,
stiffness,vp_isoharden_inverted,nopred-ls,20,1,8,6,0.0606061,50,ok,17,14,1.21429,87,17-14-14-14-14-14,1,1.13178,2.78951,-1,-1,
stepsize,vp_isoharden_inverted,pred+ls,2,1,8,6,0.0606061,50,ok,9,3,3,24,9-4-3-3-3-2,1,1.02241,4,-1,-1,
stepsize,vp_isoharden_inverted,pred+ls,2,2,8,6,0.121212,50,ok,8,2,4,20,8-3-3-2-2-2,1,1.01096,4,-1,-1,
stepsize,vp_isoharden_inverted,pred+ls,2,5,8,6,0.30303,50,ok,8,2,4,18,8-3-2-2-2-1,1,1.00433,4,-1,-1,
stepsize,vp_isoharden_inverted,pred+ls,2,10,8,6,0.606061,50,ok,7,2,3.5,15,7-2-2-2-1-1,1,1.00216,4,-1,-1,
stepsize,vp_isoharden_inverted,pred+ls,2,20,8,6,1.21212,50,ok,7,1,7,14,7-2-2-1-1-1,1,1.0011,4,-1,-1,
stepsize,vp_isoharden_inverted,pred-ls,2,1,8,6,0.0606061,50,ok,9,3,3,24,9-4-3-3-3-2,1,1.02241,4,-1,-1,
stepsize,vp_isoharden_inverted,pred-ls,2,2,8,6,0.121212,50,ok,8,2,4,20,8-3-3-2-2-2,1,1.01096,4,-1,-1,
stepsize,vp_isoharden_inverted,pred-ls,2,5,8,6,0.30303,50,ok,7,2,3.5,17,7-3-2-2-2-1,1,1.00433,4,-1,-1,
stepsize,vp_isoharden_inverted,pred-ls,2,10,8,6,0.606061,50,ok,7,2,3.5,15,7-2-2-2-1-1,1,1.00003,4,-1,-1,
stepsize,vp_isoharden_inverted,pred-ls,2,20,8,6,1.21212,50,ok,7,1,7,14,7-2-2-1-1-1,1,1.00006,4,-1,-1,
stepsize,vp_isoharden_inverted,nopred+ls,2,1,8,6,0.0606061,50,ok,9,8,1.125,49,9-8-8-8-8-8,1,1.02515,4,-1,-1,
stepsize,vp_isoharden_inverted,nopred+ls,2,2,8,6,0.121212,50,ok,8,8,1,48,8-8-8-8-8-8,1,1.01327,4,-1,-1,
stepsize,vp_isoharden_inverted,nopred+ls,2,5,8,6,0.30303,50,ok,7,7,1,42,7-7-7-7-7-7,1,1.00626,4,-1,-1,
stepsize,vp_isoharden_inverted,nopred+ls,2,10,8,6,0.606061,50,ok,7,7,1,42,7-7-7-7-7-7,1,1.00372,4,-1,-1,
stepsize,vp_isoharden_inverted,nopred+ls,2,20,8,6,1.21212,50,ok,7,7,1,42,7-7-7-7-7-7,1,1.00215,4,-1,-1,
stepsize,vp_isoharden_inverted,nopred-ls,2,1,8,6,0.0606061,50,ok,9,8,1.125,49,9-8-8-8-8-8,1,1.02515,4,-1,-1,
stepsize,vp_isoharden_inverted,nopred-ls,2,2,8,6,0.121212,50,ok,8,8,1,48,8-8-8-8-8-8,1,1.01327,4,-1,-1,
stepsize,vp_isoharden_inverted,nopred-ls,2,5,8,6,0.30303,50,ok,7,7,1,42,7-7-7-7-7-7,1,1.00626,4,-1,-1,
stepsize,vp_isoharden_inverted,nopred-ls,2,10,8,6,0.606061,50,ok,7,7,1,42,7-7-7-7-7-7,1,1.00372,4,-1,-1,
